dates,rate,fluctuation,prices,anger,depression,fatigue,tension,confusion,vigour
2018-09-20,0.0099084599657338,-2.6199951171875,267.0400085449219,0.5234031,0.41148043,-0.36086375,0.6846809,0.02358319,-0.26254547
2018-09-21,0.00029953029398652653,-0.079986572265625,267.1199951171875,-0.6520328,0.99120045,-0.36449462,-0.44527003,-0.4537668,-0.26588088
2018-09-24,-0.006364112460796245,1.699981689453125,265.4200134277344,2.185321,0.028737515,-0.33034688,0.61234134,0.15795064,-0.26586726
2018-09-25,-0.0025996624463065074,0.69000244140625,264.7300109863281,-0.6801214,0.9972332,-0.36448526,-0.4488387,-0.4462847,-0.26562876
2018-09-26,-0.003588607893346527,0.95001220703125,263.7799987792969,1.1168765,0.4270319,-0.30845568,-0.4391378,0.22730942,0.12794556
2018-09-27,0.0017817924894918669,-0.470001220703125,264.25,-0.6052851,0.9731227,-0.3644211,-0.4488596,-0.3943582,-0.26546684
2018-09-28,0.0005676211787488174,-0.149993896484375,264.3999938964844,-0.58131427,0.9690759,-0.36363366,-0.4473826,-0.42359695,-0.25052437
2018-10-01,0.008812470286046899,-2.33001708984375,266.7300109863281,-0.22517274,0.6118068,0.89682674,-0.41483912,-0.21042687,-0.26166633
2018-10-02,0.0031492381932743257,-0.839996337890625,267.57000732421875,-0.6440652,0.008707086,0.75095177,3.046285,-0.4436706,-0.2591795
2018-10-03,0.0014202073192457708,-0.3800048828125,267.95001220703125,-0.5941187,0.011675668,2.5849817,1.3611004,-0.42030436,-0.26363823
2018-10-04,-0.0063445125194386545,1.70001220703125,266.25,1.7046674,0.0763213,-0.3452446,1.1742553,-0.26984188,-0.26562613
2018-10-05,-0.007248798782276996,1.92999267578125,264.32000732421875,0.15215713,0.736317,-0.20972136,-0.4488843,-0.14282005,-0.2556038
2018-10-08,0.0019294008547046046,-0.509979248046875,264.8299865722656,-0.5931402,0.9527285,-0.36209586,-0.36730695,-0.3985123,-0.26587898
2018-10-09,-0.0022655122771521245,0.5999755859375,264.2300109863281,-0.6837841,0.9991416,-0.36449745,-0.4460645,-0.4581671,-0.26587862
2018-10-10,-0.030920081323226795,8.170013427734375,256.05999755859375,-0.49895078,0.9550231,-0.3642752,-0.44316396,-0.44620663,-0.26505297
2018-10-11,-0.022611861834482362,5.7899932861328125,250.27000427246094,-0.6799432,0.99592507,-0.36282638,-0.4363371,-0.45887786,-0.26587975
2018-10-12,0.012106919437289865,-3.029998779296875,253.3000030517578,-0.6830868,0.99888813,-0.36450657,-0.4464447,-0.45685953,-0.2658811
2018-10-15,-0.0037899988247178406,0.9600067138671875,252.33999633789062,-0.6662013,0.99302083,-0.36446202,-0.4487182,-0.43859324,-0.26578936
2018-10-16,0.022113090159405185,-5.58001708984375,257.9200134277344,-0.5248302,0.6263197,-0.3596878,-0.35169166,1.8126856,-0.2658587
2018-10-17,-0.0036833597920753456,0.95001220703125,256.9700012207031,-0.68323535,0.99885035,-0.36450717,-0.44493175,-0.45872954,-0.2658811
2018-10-18,-0.012803084131583882,3.290008544921875,253.67999267578125,-0.68268263,0.42169693,-0.34192455,2.1431096,-0.45105946,-0.23114109
